time, acel_x,acel_y,acel_z,gyro_x, gyro_y, gyro_z,mag_x, mag_y, mag_z,Pressure
aurrera
95551, 0.12, -0.05, 0.89, -12.33, 4.76, -26.00, 23.10, 15.38, -49.77, 101.45
95677, 0.29, -0.31, 0.98, 5.07, 0.92, -20.51, 22.38, 14.47, -49.84, 101.46
95803, 0.34, -0.20, 0.97, 4.21, -0.85, -9.77, 21.75, 12.59, -49.72, 101.46
95931, 0.28, -0.12, 0.98, -1.53, -2.38, -5.55, 21.89, 12.68, -50.78, 101.46
96058, 0.18, -0.10, 0.81, -3.36, 5.68, -0.98, 21.84, 11.76, -50.06, 101.46
96185, 0.24, -0.14, 0.98, 2.75, 0.43, -3.54, 22.03, 11.47, -50.38, 101.46
96313, 0.25, -0.25, 1.13, -4.94, 2.01, -0.98, 21.87, 11.25, -50.45, 101.47
96440, 0.28, 0.11, 0.99, 9.34, -5.62, -6.23, 21.55, 10.89, -50.39, 101.46
96567, 0.15, -0.06, 1.10, 4.52, 1.34, -4.09, 21.84, 10.77, -50.52, 101.47
96693, 0.26, -0.24, 1.04, -2.26, 2.75, -3.42, 21.87, 9.74, -49.26, 101.46
96820, 0.36, -0.23, 0.86, -4.27, -2.81, 0.92, 21.58, 9.79, -51.42, 101.46
96946, 0.24, -0.03, 0.95, -3.36, -4.82, 2.01, 21.97, 9.35, -50.37, 101.46
97072, 0.18, -0.25, 0.96, 8.24, -5.43, 0.18, 21.80, 9.33, -50.83, 101.46
97198, 0.22, -0.21, 0.98, -1.59, -0.49, -0.55, 21.80, 9.18, -50.24, 101.46
97324, 0.34, 0.09, 1.05, -2.69, -4.21, 0.98, 22.38, 8.35, -49.32, 101.46
97450, 0.23, -0.06, 1.02, 7.08, -7.57, -2.69, 22.83, 8.98, -49.99, 101.45
97576, 0.30, -0.09, 0.98, 9.09, -8.00, -4.64, 22.71, 8.04, -51.18, 101.46
97701, 0.27, 0.10, 1.01, 3.42, -10.31, -2.93, 23.21, 8.48, -50.81, 101.46
97827, 0.34, -0.03, 1.04, -1.71, -6.47, -2.01, 23.86, 7.08, -50.38, 101.46
97953, 0.23, -0.16, 0.97, -1.34, 0.00, 1.34, 24.00, 7.06, -52.01, 101.46
98079, 0.20, -0.28, 0.84, 3.72, -8.97, 2.14, 24.17, 6.81, -50.73, 101.46
98205, 0.19, -0.27, 0.81, 7.20, -5.07, 2.38, 24.13, 7.23, -50.51, 101.46
98330, 0.31, 0.09, 1.07, -6.23, -1.34, -10.50, 24.96, 6.73, -51.33, 101.46
98456, 0.26, -0.50, 0.93, 17.33, -6.10, -6.41, 24.84, 6.12, -50.67, 101.46
atzera
109558, 0.23, -0.11, 0.97, 1.34, -1.22, 0.06, 22.25, 7.30, -52.39, 101.45
109684, 0.23, -0.13, 0.97, 1.53, -2.56, 0.06, 22.07, 6.60, -52.94, 101.46
109810, 0.22, -0.16, 0.98, 2.20, -1.65, -0.24, 21.89, 7.47, -52.40, 101.45
109937, 0.17, -0.11, 0.98, 0.61, -0.55, 0.92, 22.20, 7.15, -51.76, 101.46
110063, 0.16, -0.12, 0.92, -0.31, -0.67, 0.61, 22.20, 7.71, -53.02, 101.45
110190, 0.17, -0.22, 0.99, 3.05, -1.22, -2.87, 22.31, 6.99, -53.32, 101.45
110317, 0.15, -0.05, 0.84, -8.00, 7.02, 6.71, 22.11, 6.38, -51.97, 101.44
110444, 0.21, -0.11, 0.77, -5.19, 6.96, 5.19, 22.57, 6.76, -52.98, 101.45
110570, 0.21, -0.18, 1.05, 9.70, -10.25, -0.12, 22.03, 7.68, -52.48, 101.44
110696, 0.20, -0.14, 1.16, 9.22, -6.53, -0.61, 22.29, 6.96, -52.72, 101.46
110823, 0.15, -0.19, 0.87, 2.32, -3.72, 1.28, 22.42, 6.98, -53.19, 101.45
110950, 0.16, -0.09, 0.82, -5.07, 5.49, 3.11, 22.80, 6.87, -53.04, 101.45
111077, 0.22, -0.39, 0.79, 5.92, 2.32, -2.32, 22.58, 6.60, -52.40, 101.45
111203, 0.26, -0.09, 0.92, -1.65, 3.23, -0.31, 23.08, 5.99, -50.88, 101.45
111329, 0.22, -0.28, 0.98, 1.22, -5.37, 3.11, 23.58, 5.90, -51.94, 101.46
111456, 0.25, -0.08, 1.01, 5.62, -1.40, 7.02, 23.78, 6.08, -50.33, 101.45
111582, 0.24, -0.14, 1.03, 5.92, -2.44, 9.70, 24.23, 6.62, -52.61, 101.45
111708, 0.24, 0.18, 1.11, -6.84, -5.62, 11.29, 25.24, 6.70, -51.46, 101.45
111835, 0.27, -0.23, 0.97, 8.30, -7.32, 1.77, 25.05, 6.60, -51.84, 101.45
111961, 0.30, -0.08, 1.03, -0.73, -1.04, 1.22, 24.83, 6.76, -51.54, 101.46
112088, 0.32, -0.07, 0.97, 0.67, -2.69, -4.82, 25.45, 7.02, -51.14, 101.46
112214, 0.28, -0.26, 0.97, 3.30, -1.65, -8.97, 25.23, 7.06, -50.79, 101.44
112341, 0.15, -0.36, 0.92, 2.14, 1.40, -8.67, 25.76, 7.01, -52.14, 101.46
112468, 0.21, -0.15, 0.93, -1.83, 1.16, -7.75, 25.37, 6.74, -51.72, 101.44
112595, 0.20, -0.04, 1.09, -0.73, -6.47, -6.65, 25.79, 6.51, -51.40, 101.45
112723, 0.11, -0.01, 0.88, -3.54, 0.67, -0.06, 25.76, 6.43, -51.76, 101.44
112850, 0.28, -0.05, 0.76, -1.10, 6.53, 4.70, 25.46, 6.60, -51.40, 101.45
112976, 0.25, -0.07, 0.96, -1.83, -4.46, 1.83, 24.96, 6.70, -50.93, 101.44
113102, 0.28, -0.14, 0.91, 1.77, -0.85, 11.90, 25.33, 7.13, -51.10, 101.46
113228, 0.25, -0.07, 1.00, -2.87, -1.65, 11.11, 25.35, 7.92, -52.70, 101.45
113355, 0.18, -0.14, 0.94, 6.23, -4.09, 10.86, 24.95, 8.53, -51.67, 101.45
113481, 0.42, -0.13, 0.91, 9.03, -4.52, 7.63, 25.34, 9.59, -51.73, 101.45
113606, 0.27, -0.16, 0.93, 0.43, 2.01, 0.12, 25.55, 10.11, -51.06, 101.46
113732, 0.28, -0.31, 0.91, 1.83, -2.08, -6.47, 25.34, 9.95, -51.33, 101.46
113858, 0.15, -0.27, 0.87, -1.65, -1.83, -8.54, 24.65, 9.91, -51.56, 101.45
113984, 0.26, -0.27, 0.86, -1.71, -0.85, -9.22, 24.84, 10.16, -51.76, 101.45
114110, 0.28, -0.32, 0.99, -6.65, 0.31, -7.75, 24.17, 9.72, -49.85, 101.44
114236, 0.19, -0.22, 0.81, -0.43, 1.83, -9.40, 24.22, 8.84, -51.20, 101.45
114362, 0.29, -0.17, 1.05, 4.94, -6.84, -8.61, 23.69, 8.70, -50.56, 101.44
114488, 0.19, -0.22, 1.00, 1.71, -2.81, -0.31, 23.30, 8.09, -50.87, 101.46
114616, 0.36, -0.33, 0.87, 9.40, -5.49, 8.36, 23.12, 8.20, -50.57, 101.44
aurrera
124506, 0.25, -0.12, 0.94, 2.14, -0.85, -0.37, 22.29, 11.25, -49.50, 101.44
124632, 0.24, -0.17, 1.00, 0.00, -0.24, 0.37, 22.19, 11.65, -50.63, 101.44
